Title,Company,Location,Link,Skills_Raw,Job_ID
Data Analyst,Marathon Petroleum Corporation,"Findlay, OH",https://www.linkedin.com/jobs/view/data-analyst-at-marathon-petroleum-corporation-4429562335?position=1&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=kJ3MpxeVy1422GlRWS1rCg%3D%3D,"Machine Learning, Python, Excel, Tableau",
Data Analyst,Marathon Petroleum Corporation,"San Antonio, TX",https://www.linkedin.com/jobs/view/data-analyst-at-marathon-petroleum-corporation-4429554475?position=2&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=J%2F46elN7Z5OAYDd%2BGVpXSg%3D%3D,"Machine Learning, Excel, Pandas",
Data Analyst | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/data-analyst-remote-at-crossing-hurdles-4426499258?position=3&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=aCIjeFZ3gWQFC66fvygtWw%3D%3D,"Tableau, Statistics, AWS, Power BI",
"Data Analyst – Operations: Manhattan, NY",CAVA,"Manhattan, NY",https://www.linkedin.com/jobs/view/data-analyst-%E2%80%93-operations-manhattan-ny-at-cava-4429536514?position=4&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=b6JkSkL%2FK1XLkO48RtzoXw%3D%3D,"Pandas, Tableau, AWS, R",
Reporting Analyst | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/reporting-analyst-remote-at-crossing-hurdles-4426810036?position=5&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=MKg8a4L2%2B2fJxTEKjVrLuQ%3D%3D,"Machine Learning, Python, Statistics, AWS, Tableau",
Data Analyst,Haystack,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-at-haystack-4423694458?position=6&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=9btrGL1H023JLv9alR8uzQ%3D%3D,"sql, R, Tableau, AWS",
Data Analyst,SWBC,"San Antonio, TX",https://www.linkedin.com/jobs/view/data-analyst-at-swbc-4428070912?position=7&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=AcBQ9RtJi4MPhEilru8Ykw%3D%3D,"Communication, Pandas, Power BI, Excel, SQL 3",
Data Analyst,Lemonade,"New York, United States",https://www.linkedin.com/jobs/view/data-analyst-at-lemonade-4426302272?position=8&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=9%2BtOCSbTtWcgO%2B7824QUSw%3D%3D,"Power BI, AWS, R 3",
Data Analyst,The Hershey Company,"Dallas, TX",https://www.linkedin.com/jobs/view/data-analyst-at-the-hershey-company-4428763092?position=9&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=raJIU0ruFNacQA9lhetG3w%3D%3D,"SQL, Power BI, Statistics, Excel, Machine Learning, Tableau",
Data Analyst,CAVA,"Washington, DC",https://www.linkedin.com/jobs/view/data-analyst-at-cava-4395712913?position=10&pageNum=0&refId=T8Dx71KtRbNbXoIQz6lL8w%3D%3D&trackingId=SYkQhHBI3o1CK5%2FXh%2FGmtw%3D%3D,"Statistics, R, Pandas, Tableau, Excel",
Data Analyst,Herzog,"St Joseph, MO",https://www.linkedin.com/jobs/view/data-analyst-at-herzog-4408524912?position=1&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=vMdDMn8504DxVV7PfFhgNA%3D%3D,"SQL, Tableau, Python, Pandas, Machine Learning, Statistics",
Business Intelligence Analyst,Sweetwater,"Fort Wayne, IN",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-sweetwater-4428154909?position=2&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=e8GZNuRQM1nH6kTo2TGR8A%3D%3D,"sql, Power BI, Communication, Pandas",
Data Analyst,UST,"Bentonville, AR",https://www.linkedin.com/jobs/view/data-analyst-at-ust-4429201701?position=3&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=ulXtDO4RBwhfWpAAXZ5j9A%3D%3D,"Communication, Excel, Pandas, AWS, Machine Learning",
Business Data Analyst,TCN,"St George, UT",https://www.linkedin.com/jobs/view/business-data-analyst-at-tcn-4424794499?position=4&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=jusLJ3ZeNQqbFZ9OsNm6Xg%3D%3D,"Tableau, Excel, Statistics, Machine Learning",
Data Analyst,"Alterman, Inc.","Live Oak, TX",https://www.linkedin.com/jobs/view/data-analyst-at-alterman-inc-4385755079?position=5&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=rXBd1IOAeG%2F1XkbU2DPKbA%3D%3D,"Power BI, Statistics, Python",
Data Analyst,Hoffman Construction Company,Boise Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-at-hoffman-construction-company-4423972091?position=6&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=XjtR%2FzYBgZlrTDtQ1TkiAg%3D%3D,"Pandas, Statistics, SQL, Communication, Tableau",
Data Analyst,Radiance Technologies,"Huntsville, AL",https://www.linkedin.com/jobs/view/data-analyst-at-radiance-technologies-4419902218?position=7&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=rZKhyofCqODWlaijtceb%2FQ%3D%3D,"statistics, R, Excel, Machine Learning",
Data Analyst,Saragossa,"Houston, TX",https://www.linkedin.com/jobs/view/data-analyst-at-saragossa-4421163237?position=8&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=7q0PBFoTnxVTVAIttlBPig%3D%3D,"Power BI, Tableau, Excel, Pandas, Communication",
Data Analyst (U.S.),apexanalytix,"Greensboro, NC",https://www.linkedin.com/jobs/view/data-analyst-u-s-at-apexanalytix-4412974495?position=9&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=AGEPEUOuSjwX4mQaSTDvkg%3D%3D,"Pandas, Machine Learning, R, Statistics, Python, Tableau",
Data Analyst,WENCOR,"Rockmart, GA",https://www.linkedin.com/jobs/view/data-analyst-at-wencor-4409712930?position=10&pageNum=2&refId=H%2Bj7WT1YdN%2BTXRO7SC54Rw%3D%3D&trackingId=4pTimf7PDYhLJYgMvDPOQA%3D%3D,"Communication, AWS, Pandas, Tableau, SQL, Excel",
Data Analyst,MRM,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-mrm-4427027207?position=1&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=2e3%2FkKwTpwI3DEtqzfJHzw%3D%3D,"aws, R, Pandas, Python",
Data Analyst,MRM,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-mrm-4427029240?position=2&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=tWMsr09MOIjXjBHazFkk2w%3D%3D,"tableau, Power BI, Communication, SQL",
Data Analyst,InterEx Group,United States,https://www.linkedin.com/jobs/view/data-analyst-at-interex-group-4421926547?position=3&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=bVqb3kxCEjz7VN86MBCdew%3D%3D,"AWS, Statistics, Excel, Python, R, Communication 3",
Data Analyst,Sierra Solutions,United States,https://www.linkedin.com/jobs/view/data-analyst-at-sierra-solutions-4422025664?position=4&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=GdPNs4NrgdC%2B03%2BCZYq8cQ%3D%3D,"AWS, Statistics, SQL, Machine Learning, Pandas 3",
Staff Data Analyst,Okta,"Bellevue, WA",https://www.linkedin.com/jobs/view/staff-data-analyst-at-okta-4402490847?position=5&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=ps3NFVlBHZXeO6DkoBmu1g%3D%3D,"Statistics, Tableau, Machine Learning, R, Excel, AWS",
Data Analyst - Growth Marketing,Saragossa,"Palo Alto, CA",https://www.linkedin.com/jobs/view/data-analyst-growth-marketing-at-saragossa-4426859122?position=6&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=LPGT6cJTrozU%2BlYdMY3Vmw%3D%3D,"Statistics, Communication, Power BI",
Data Analyst (Central Analytics),Hadrian,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-central-analytics-at-hadrian-4398603049?position=7&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=ppMbFuU7bn2VA0StGysLLA%3D%3D,"R, Tableau, Communication, Excel, SQL",
Data Analyst,Cisco,"Durham, NC",https://www.linkedin.com/jobs/view/data-analyst-at-cisco-4428628017?position=8&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=jTzKIdw8urlbjHuGKkz%2Bgg%3D%3D,"Tableau, Python, Pandas, Power BI, AWS",
Data Analyst - Data Center Project Controls,SB Energy,United States,https://www.linkedin.com/jobs/view/data-analyst-data-center-project-controls-at-sb-energy-4416974391?position=9&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=OIY%2F1mqu7NUrEpRUF51o%2Bg%3D%3D,"Python, AWS, Excel, Communication, Pandas, Tableau",
Data Analyst,Elder Research,United States,https://www.linkedin.com/jobs/view/data-analyst-at-elder-research-4428116202?position=10&pageNum=5&refId=dFCu1StztuuBakwyvw%2Bw2g%3D%3D&trackingId=%2B8dE8qmSZGv0uzES8nRh5A%3D%3D,"Statistics, Machine Learning, R, SQL, Excel",
Data Analyst,TechCorp 31,"Chicago, IL",,"SQL, Excel, Power BI 3, Python",JOB_1000
Business Analyst,TechCorp 42,"Boston, MA",,"power bi, excel, agile, SQL 3",JOB_1001
Data Engineer,TechCorp 91,"New York, NY",,"Spark, ETL 3, aws, Kafka, hadoop, Airflow",JOB_1002
Data Engineer,TechCorp 80,"Austin, TX",,"hadoop, Python 3, AWS",JOB_1003
Business Analyst,TechCorp 52,"Austin, TX",,"Excel, Communication, power bi, SQL",JOB_1004
Data Analyst,TechCorp 46,"Chicago, IL",,"Communication, Excel, SQL, Tableau, Python",JOB_1005
Data Analyst,TechCorp 56,"Boston, MA",,"tableau, python, SQL, Statistics, Excel",JOB_1006
Data Scientist,TechCorp 10,"Boston, MA",,"statistics, r, deep learning, TensorFlow",JOB_1007
Data Analyst,TechCorp 46,"Austin, TX",,"SQL, Tableau, Statistics, Python, Excel 3",JOB_1008
Data Engineer,TechCorp 7,"Austin, TX",,"spark, AWS, sql, hadoop, kafka, python",JOB_1009
Data Engineer,TechCorp 11,"Boston, MA",,"Hadoop, Python, Airflow, ETL",JOB_1010
Business Analyst,TechCorp 87,"Seattle, WA",,"SQL, excel, Power BI, Agile, Jira, Communication",JOB_1011
